# Supplemental data for: Revisiting population size vs. phoneme inventory size.
# Moran, Steven, Daniel McCloy and Richard Wright. 2012. Revisiting population size vs. phoneme inventory size. Language, 88(4), 877-893.
# http://phoible.org
# This dataset is non-commercial, research only, do not distribute, and cite us if appropriate.
ReportDate	Source	inventory_id	language_code_id	alternative_language_names	root	wals_genus	area	glyph
"2012-09-20 03:33:25"	PHOIBLE	1159	abt	Abulas	sepr	"Middle Sepik"	Pacific	mb
"2012-09-20 03:33:25"	PHOIBLE	1159	abt	Abulas	sepr	"Middle Sepik"	Pacific	l
"2012-09-20 03:33:25"	PHOIBLE	1159	abt	Abulas	sepr	"Middle Sepik"	Pacific	n
"2012-09-20 03:33:25"	PHOIBLE	1159	abt	Abulas	sepr	"Middle Sepik"	Pacific	nd
"2012-09-20 03:33:25"	PHOIBLE	1159	abt	Abulas	sepr	"Middle Sepik"	Pacific	p
"2012-09-20 03:33:25"	PHOIBLE	1159	abt	Abulas	sepr	"Middle Sepik"	Pacific	s
"2012-09-20 03:33:25"	PHOIBLE	1159	abt	Abulas	sepr	"Middle Sepik"	Pacific	t
"2012-09-20 03:33:25"	PHOIBLE	1159	abt	Abulas	sepr	"Middle Sepik"	Pacific	w
"2012-09-20 03:33:25"	PHOIBLE	1159	abt	Abulas	sepr	"Middle Sepik"	Pacific	ɨ
"2012-09-20 03:33:25"	PHOIBLE	1159	abt	Abulas	sepr	"Middle Sepik"	Pacific	r
"2012-09-20 03:33:25"	PHOIBLE	1159	abt	Abulas	sepr	"Middle Sepik"	Pacific	v
"2012-09-20 03:33:25"	PHOIBLE	1159	abt	Abulas	sepr	"Middle Sepik"	Pacific	ɲ
"2012-09-20 03:33:25"	PHOIBLE	1159	abt	Abulas	sepr	"Middle Sepik"	Pacific	ŋɡ
"2012-09-20 03:33:25"	PHOIBLE	1159	abt	Abulas	sepr	"Middle Sepik"	Pacific	ɲɟ
"2012-09-20 03:33:25"	PHOIBLE	1093	ace	Acehnese	anes	Malayic	Asia	ʔ
"2012-09-20 03:33:25"	PHOIBLE	1093	ace	Acehnese	anes	Malayic	Asia	o
"2012-09-20 03:33:25"	PHOIBLE	1093	ace	Acehnese	anes	Malayic	Asia	u
"2012-09-20 03:33:25"	PHOIBLE	1093	ace	Acehnese	anes	Malayic	Asia	a
"2012-09-20 03:33:25"	PHOIBLE	1093	ace	Acehnese	anes	Malayic	Asia	ŋ
"2012-09-20 03:33:25"	PHOIBLE	1093	ace	Acehnese	anes	Malayic	Asia	e
"2012-09-20 03:33:25"	PHOIBLE	1093	ace	Acehnese	anes	Malayic	Asia	ɛ
"2012-09-20 03:33:25"	PHOIBLE	1093	ace	Acehnese	anes	Malayic	Asia	i
"2012-09-20 03:33:25"	PHOIBLE	1093	ace	Acehnese	anes	Malayic	Asia	h
"2012-09-20 03:33:25"	PHOIBLE	1093	ace	Acehnese	anes	Malayic	Asia	k
"2012-09-20 03:33:25"	PHOIBLE	1093	ace	Acehnese	anes	Malayic	Asia	ɡ
"2012-09-20 03:33:25"	PHOIBLE	1093	ace	Acehnese	anes	Malayic	Asia	j
"2012-09-20 03:33:25"	PHOIBLE	1093	ace	Acehnese	anes	Malayic	Asia	m
"2012-09-20 03:33:25"	PHOIBLE	1093	ace	Acehnese	anes	Malayic	Asia	l
"2012-09-20 03:33:25"	PHOIBLE	1093	ace	Acehnese	anes	Malayic	Asia	n
"2012-09-20 03:33:25"	PHOIBLE	1093	ace	Acehnese	anes	Malayic	Asia	p
"2012-09-20 03:33:25"	PHOIBLE	1093	ace	Acehnese	anes	Malayic	Asia	b
"2012-09-20 03:33:25"	PHOIBLE	1093	ace	Acehnese	anes	Malayic	Asia	s
"2012-09-20 03:33:25"	PHOIBLE	1093	ace	Acehnese	anes	Malayic	Asia	ʃ
"2012-09-20 03:33:25"	PHOIBLE	1093	ace	Acehnese	anes	Malayic	Asia	t
"2012-09-20 03:33:25"	PHOIBLE	1093	ace	Acehnese	anes	Malayic	Asia	d
"2012-09-20 03:33:25"	PHOIBLE	1093	ace	Acehnese	anes	Malayic	Asia	w
"2012-09-20 03:33:25"	PHOIBLE	1093	ace	Acehnese	anes	Malayic	Asia	ɯ
"2012-09-20 03:33:25"	PHOIBLE	1093	ace	Acehnese	anes	Malayic	Asia	ɔ
"2012-09-20 03:33:25"	PHOIBLE	1093	ace	Acehnese	anes	Malayic	Asia	r
"2012-09-20 03:33:25"	PHOIBLE	1093	ace	Acehnese	anes	Malayic	Asia	f
"2012-09-20 03:33:25"	PHOIBLE	1093	ace	Acehnese	anes	Malayic	Asia	c
"2012-09-20 03:33:25"	PHOIBLE	1093	ace	Acehnese	anes	Malayic	Asia	ɟ
"2012-09-20 03:33:25"	PHOIBLE	1093	ace	Acehnese	anes	Malayic	Asia	ə
"2012-09-20 03:33:25"	PHOIBLE	1093	ace	Acehnese	anes	Malayic	Asia	ʌ
"2012-09-20 03:33:25"	PHOIBLE	1093	ace	Acehnese	anes	Malayic	Asia	ũ
"2012-09-20 03:33:25"	PHOIBLE	1093	ace	Acehnese	anes	Malayic	Asia	ã
"2012-09-20 03:33:25"	PHOIBLE	1093	ace	Acehnese	anes	Malayic	Asia	ĩ
"2012-09-20 03:33:25"	PHOIBLE	1093	ace	Acehnese	anes	Malayic	Asia	ɲ
"2012-09-20 03:33:25"	PHOIBLE	1093	ace	Acehnese	anes	Malayic	Asia	ɛ̃
"2012-09-20 03:33:25"	PHOIBLE	1093	ace	Acehnese	anes	Malayic	Asia	ɯ̃
"2012-09-20 03:33:25"	PHOIBLE	1093	ace	Acehnese	anes	Malayic	Asia	ɔ̃
"2012-09-20 03:33:25"	PHOIBLE	1093	ace	Acehnese	anes	Malayic	Asia	ɔə
"2012-09-20 03:33:25"	PHOIBLE	1093	ace	Acehnese	anes	Malayic	Asia	ɛə
"2012-09-20 03:33:25"	PHOIBLE	1093	ace	Acehnese	anes	Malayic	Asia	ui
"2012-09-20 03:33:25"	PHOIBLE	1093	ace	Acehnese	anes	Malayic	Asia	ai
"2012-09-20 03:33:25"	PHOIBLE	1093	ace	Acehnese	anes	Malayic	Asia	ʌ̃
"2012-09-20 03:33:25"	PHOIBLE	1093	ace	Acehnese	anes	Malayic	Asia	ɔi
"2012-09-20 03:33:25"	PHOIBLE	1093	ace	Acehnese	anes	Malayic	Asia	iə
"2012-09-20 03:33:25"	PHOIBLE	1093	ace	Acehnese	anes	Malayic	Asia	uə
"2012-09-20 03:33:25"	PHOIBLE	1093	ace	Acehnese	anes	Malayic	Asia	ɯə
"2012-09-20 03:33:25"	PHOIBLE	1093	ace	Acehnese	anes	Malayic	Asia	əi
"2012-09-20 03:33:25"	PHOIBLE	1093	ace	Acehnese	anes	Malayic	Asia	oi
"2012-09-20 03:33:25"	PHOIBLE	1093	ace	Acehnese	anes	Malayic	Asia	ʌi
"2012-09-20 03:33:25"	PHOIBLE	1093	ace	Acehnese	anes	Malayic	Asia	ũə
"2012-09-20 03:33:25"	PHOIBLE	1093	ace	Acehnese	anes	Malayic	Asia	ɛ̃ə
"2012-09-20 03:33:25"	PHOIBLE	1093	ace	Acehnese	anes	Malayic	Asia	ĩə
"2012-09-20 03:33:25"	PHOIBLE	1093	ace	Acehnese	anes	Malayic	Asia	ãi
"2012-09-20 03:33:25"	PHOIBLE	1093	ace	Acehnese	anes	Malayic	Asia	ɯ̃ə
"2012-09-20 03:33:25"	PHOIBLE	1093	ace	Acehnese	anes	Malayic	Asia	ʌə
"2012-09-20 03:33:25"	UPSID	199	acv	ACHUMAWI	hoka	Palaihnihan	America	ʔ
"2012-09-20 03:33:25"	UPSID	199	acv	ACHUMAWI	hoka	Palaihnihan	America	u
"2012-09-20 03:33:25"	UPSID	199	acv	ACHUMAWI	hoka	Palaihnihan	America	a
"2012-09-20 03:33:25"	UPSID	199	acv	ACHUMAWI	hoka	Palaihnihan	America	i
"2012-09-20 03:33:25"	UPSID	199	acv	ACHUMAWI	hoka	Palaihnihan	America	h
"2012-09-20 03:33:25"	UPSID	199	acv	ACHUMAWI	hoka	Palaihnihan	America	k
"2012-09-20 03:33:25"	UPSID	199	acv	ACHUMAWI	hoka	Palaihnihan	America	j
"2012-09-20 03:33:25"	UPSID	199	acv	ACHUMAWI	hoka	Palaihnihan	America	m
"2012-09-20 03:33:25"	UPSID	199	acv	ACHUMAWI	hoka	Palaihnihan	America	l
"2012-09-20 03:33:25"	UPSID	199	acv	ACHUMAWI	hoka	Palaihnihan	America	p
"2012-09-20 03:33:25"	UPSID	199	acv	ACHUMAWI	hoka	Palaihnihan	America	s
"2012-09-20 03:33:25"	UPSID	199	acv	ACHUMAWI	hoka	Palaihnihan	America	ʃ
"2012-09-20 03:33:25"	UPSID	199	acv	ACHUMAWI	hoka	Palaihnihan	America	d̠ʒ
"2012-09-20 03:33:25"	UPSID	199	acv	ACHUMAWI	hoka	Palaihnihan	America	t
"2012-09-20 03:33:25"	UPSID	199	acv	ACHUMAWI	hoka	Palaihnihan	America	w
"2012-09-20 03:33:25"	UPSID	199	acv	ACHUMAWI	hoka	Palaihnihan	America	q
"2012-09-20 03:33:25"	UPSID	199	acv	ACHUMAWI	hoka	Palaihnihan	America	χ
"2012-09-20 03:33:25"	UPSID	199	acv	ACHUMAWI	hoka	Palaihnihan	America	x
"2012-09-20 03:33:25"	UPSID	199	acv	ACHUMAWI	hoka	Palaihnihan	America	e̞
"2012-09-20 03:33:25"	UPSID	199	acv	ACHUMAWI	hoka	Palaihnihan	America	o̞
"2012-09-20 03:33:25"	UPSID	199	acv	ACHUMAWI	hoka	Palaihnihan	America	ə
