# Supplemental data for: Revisiting population size vs. phoneme inventory size.
# Moran, Steven, Daniel McCloy and Richard Wright. 2012. Revisiting population size vs. phoneme inventory size. Language, 88(4), 877-893.
# http://phoible.org
# This dataset is non-commercial, research only, do not distribute, and cite us if appropriate.
lang	pho	con	son	obs	vow	mon	qua	ton	fam	genus	geoLat	geoLong	pop	logPop
cav	cav	24	20	7	13	4	4	4	0	taca	Tacanan	-13:25	-66:35	1180	3.07188200730613
cbi	cbi	28	24	9	15	4	4	4	0	barb	Barbacoan	00:40	-79:0	9500	3.97772360528885
cbn	cbn	50	26	15	11	24	18	18	0	ausa	Monic	16:15	101:25	1500	3.17609125905568
cbv	cbv	22	12	5	7	10	10	5	0	maku	Cacua-Nukak	01:10	-69:55	150	2.17609125905568
ccc	ccc	29	19	8	11	10	10	5	0	arwk		-05:10	-75:40	2	0.301029995663981
cdm	cdm	24	18	7	11	6	6	6	0	sitb	Bodic	27:40	84:45	36800	4.56584781867352
cdo	cdo	21	14	9	5	7	7	7	0	sitb	Chinese	26:0	119:30	8820000	6.94546858513182
ces	ces	38	25	7	18	13	10	5	0	ieur	Slavic	50:0	15:00	9250000	6.96614173273903
cha	cha	36	30	11	19	6	6	6	0	anes	Chamorro	13:35	145:0	62500	4.79588001734407
che	che	44	32	6	26	12	12	6	0	ncau	Nakh	43:30	45:30	1330000	6.12385164096709
chf	chf	37	25	7	18	12	12	6	0	maya	Mayan	18:10	-92:35	38000	4.57978359661681
cho	cho	21	15	5	10	6	6	3	0	musk	Muskogean	35:30	-96:30	11400	4.05690485133647
chp	chp	61	39	6	33	18	18	6	4	nadn	Athapaskan	58:0	-105:0	9030	3.95568775031351
chq	chq	41	26	16	10	15	15	8	0	otma	Chinantecan	17:35	-96:40	8000	3.90308998699194
chr	chr	17	11	5	6	6	6	5	0	iroq	Southern Iroquoian	35:0	-83:0	16400	4.2148438480477
chv	chv	39	30	14	16	9	9	8	0	altc	Turkic	55:30	47:0	1640000	6.2148438480477
cic	cic	25	16	5	11	9	9	3	0	musk	Muskogean	33:50	-97:0	1000	3
cja	cja	35	24	8	16	9	9	9	2	anes	Malayic	12:00	105:20	290000	5.46239799789896
cjv	cjv	17	12	5	7	5	5	5	0	trng	Chimbu	-06:15	145:05	23100	4.36361197989214
cko	cko	43	22	8	14	19	19	7	2	ncon	Kwa	10:25	00:30	66000	4.81954393554187
ckt	ckt	22	15	5	10	7	7	6	0	chka	Northern Chukotko-Kamchatkan	69:0	165:0	7740	3.88874096068289
cku	cku	25	15	5	10	6	6	3	4	musk	Muskogean	30:30	-94:0	200	2.30102999566398
cle	cle	35	28	9	19	7	7	7	0	otma	Chinantecan	17:20	-95:55	2000	3.30102999566398
cme	cme	46	21	7	14	21	21	7	4	ncon	Gur	10:10	-04:50	61400	4.78816837114117
cmn	cmn	49	24	9	15	21	6	6	4	sitb	Chinese	34:0	110:0	8.4e+08	8.92427928606188
cnh	cnh	52	45	22	23	7	7	6	0	sitb	Kuki-Chin	22:40	93:40	1e+05	5
cni	cni	21	17	6	11	4	4	4	0	arwk	Arawakan	-12:0	-74:0	26100	4.41664050733828
cof	cof	25	16	6	10	9	9	5	0	barb	Barbacoan	00:15	-79:10	2300	3.36172783601759
cog	cog	40	21	8	13	19	18	9	0	ausa		12:15	102:50	5000	3.69897000433602
com	com	18	12	4	8	6	6	6	0	utaz	Numic	34:10	-98:30	200	2.30102999566398
con	con	35	30	11	19	5	5	5	0	chib	Cofán	00:10	-77:0	800	2.90308998699194
coo	coo	42	37	11	26	5	5	5	0	sali	Central Salish	50:10	-125:0	400	2.60205999132796
cou	cou	46	39	21	18	7	7	7	0	ncon	Northern Atlantic	12:40	-13:06	18400	4.26481782300954
cqd	cqd	56	46	24	22	10	6	6	0	hmom	Hmong-Mien			1400000	6.14612803567824
crd	crd	47	41	13	28	6	6	6	0	sali	Interior Salish	47:20	-117:0	5	0.698970004336019
cro	cro	23	10	2	8	10	10	5	3	siou	Siouan	45:20	-107:0	4280	3.63144376901317
crw	crw	33	20	8	12	13	11	3	0	ausa	Bahnaric	10:55	107:15	22600	4.3541084391474
cso	cso	39	18	5	13	14	14	7	7	otma	Chinantecan	17:50	-96:40	5800	3.76342799356294
ctd	ctd	26	21	6	15	5	5	5	0	sitb	Kuki-Chin	23:20	93:40	189000	5.27646180417324
ctp	ctp	25	16	9	7	9	9	5	0	otma	Zapotecan	16:15	-97:20	12000	4.07918124604763
