# Supplemental data for: Revisiting population size vs. phoneme inventory size.
# Moran, Steven, Daniel McCloy and Richard Wright. 2012. Revisiting population size vs. phoneme inventory size. Language, 88(4), 877-893.
# http://phoible.org
# This dataset is non-commercial, research only, do not distribute, and cite us if appropriate.
lang	pho	con	son	obs	vow	mon	qua	ton	fam	genus	geoLat	geoLong	pop	logPop
sxm	sxm	41	20	8	12	21	18	9	0	ausa		13:30	104:0	50	1.69897000433602
sza	sza	50	32	17	15	18	18	10	0	ausa	Aslian	03:00	103:0	6418	3.80739971275949
taj	taj	29	19	7	12	10	10	10	0	sitb	Bodic	28:0	85:15	759000	5.88024177589548
tam	tam	33	21	10	11	12	10	5	0	drav	Southern Dravidian	09:00	80:30	61500000	7.78887511577542
taq	taq	43	22	7	15	21	21	7	0	afas	Berber	14:30	00:15	250000	5.39794000867204
tav	tav	17	11	3	8	6	6	6	0	tucn	Tucanoan	00:30	-70:45	400	2.60205999132796
tay	tay	27	19	7	12	8	8	5	0	anes	Atayalic	24:30	121:0	84300	4.92582757462474
tba	tba	32	22	10	12	10	10	7	0	arwk	Arawakan	-12:40	-60:40	180	2.25527250510331
tbi	tbi	33	24	8	16	9	9	9	0	nsah	Eastern Jebel	11:20	34:0	67200	4.82736927305382
tbz	tbz	32	17	7	10	12	12	7	3	ncon		10:15	01:15	120000	5.07918124604763
tca	tca	38	18	6	12	11	11	6	9	_tca	Ticuna	-4:0	-70:40	32600	4.51321760006794
tcb	tcb	54	35	10	25	14	14	6	5	nadn	Athapaskan	64:0	-143:0	35	1.54406804435028
tcy	tcy	37	24	10	14	13	13	7	0	drav	Southern Dravidian	12:45	75:20	1950000	6.29003461136252
tdh	tdh	38	30	7	23	8	8	8	0	sitb	Bodic	27:25	86:30	30000	4.47712125471966
ted	ted	39	17	4	13	18	18	9	4	ncon		04:40	-07:25	28300	4.45178643552429
tee	tee	36	26	7	19	10	10	5	0	toto	Totonacan	20:30	-98:09	3000	3.47712125471966
teh	teh	35	28	7	21	7	7	7	0	chon	Chon Proper	-47:0	-68:15	4	0.602059991327962
tel	tel	68	47	12	35	21	21	10	0	drav	South-Central Dravidian	16:00	79:0	69600000	7.84260923961056
tem	tem	25	17	6	11	8	8	8	0	ncon	Southern Atlantic	08:45	-12:30	1230000	6.0899051114394
teq	teq	25	18	8	10	7	7	7	0	nsah	Temein	11:50	29:25	13000	4.11394335230684
tet	tet	19	14	8	6	5	5	5	0	anes	Central Malayo-Polynesian	-09:20	125:05	4e+05	5.60205999132796
tew	tew	57	34	7	27	19	19	6	4	kita	Kiowa-Tanoan	36:0	-106:15	1300	3.11394335230684
tfi	tfi	41	23	6	17	14	14	7	4	ncon		06:40	02:38	66000	4.81954393554187
tft	tft	25	20	8	12	5	5	5	0	wpap	North Halmaheran	00:50	127:20	42000	4.6232492903979
tgc	tgc	17	12	4	8	5	5	5	0	anes	Oceanic	-02:45	150:55	6000	3.77815125038364
tgl	tgl	28	18	7	11	10	10	5	0	anes	Meso-Philippine	14:00	121:0	21500000	7.3324384599156
tgw	tgw	45	23	8	15	22	22	6	0	ncon		08:47	-05:19	138000	5.13987908640124
tha	tha	45	21	7	14	18	18	9	6	taik	Kam-Tai	15:00	100:40	20200000	7.30535136944662
thm	thm	47	20	7	13	23	20	10	4	ausa		17:25	103:20	750	2.8750612633917
thv	thv	37	25	7	18	12	12	7	0	afas	Berber	22:30	07:00	25000	4.39794000867204
tig	tig	54	47	11	36	7	7	2	0	afas	Semitic	16:05	40:05	1050000	6.02118929906994
tik	tik	46	27	7	20	14	14	8	5	ncon	Bantoid	05:50	11:40	25000	4.39794000867204
tiw	tiw	18	14	9	5	4	4	4	0	aust	Tiwian	-11:40	131:0	1830	3.26245108973043
tix	tix	41	26	6	20	12	12	6	3	kita	Kiowa-Tanoan	35:05	-106:40	1630	3.21218760440396
tiy	tiy	22	16	7	9	6	6	6	0	anes	South Mindanao	06:50	124:10	50000	4.69897000433602
tlf	tlf	27	17	6	11	8	8	3	2	trng	Ok	05:00	141:45	5400	3.73239375982297
tli	tli	48	43	16	27	5	5	5	0	nadn	Tlingit	59:30	-136:0	1200	3.07918124604762
tlo	tlo	21	14	8	6	7	7	7	0	ncon	Talodi Proper	10:40	30:30	1500	3.17609125905568
tma	tma	30	21	9	12	9	9	9	0	nsah	Taman	14:30	22:00	62900	4.79865064544527
tml	tml	19	14	4	10	5	5	5	0	trng	Asmat-Kamoro	-05:35	139:10	290	2.46239799789896
tna	tna	22	18	5	13	4	4	4	0	taca	Tacanan	-13:25	-68:0	1820	3.26007138798507
tnl	tnl	21	15	8	7	6	6	6	0	anes	Oceanic	-19:30	169:10	11500	4.06069784035361
tob	tob	28	21	8	13	7	7	4	0	mgua	Guaicuruan	-26:0	-59:0	19800	4.29666519026153
tol	tol	31	26	5	21	5	5	5	0	nadn		41:50	-124:0	4	0.602059991327962
ton	ton	17	12	4	8	5	5	5	0	anes	Oceanic	-21:10	-175:15	96300	4.98362628712453
top	top	26	20	5	15	6	6	3	0	toto	Totonacan	20:25	-97:05	80000	4.90308998699194
toq	toq	27	17	8	9	9	9	9	1	nsah		05:20	34:0	1e+05	5
tow	tow	61	39	11	28	22	22	6	0	kita	Kiowa-Tanoan	35:40	-106:50	1300	3.11394335230684
tpm	tpm	33	24	9	15	9	9	9	0	ncon	Gur	09:50	-01:20	16000	4.20411998265593
tpt	tpt	34	24	8	16	10	10	5	0	toto	Totonacan	20:45	-98:09	3000	3.47712125471966
tpx	tpx	30	20	6	14	10	10	5	0	subt	Subtiaba-Tlapanec	17:11	-99:0	54000	4.73239375982297
tpy	tpy	24	18	6	12	6	6	6	0	_tpy	Trumai	-11:53	-53:32	100	2
tpz	tpz	26	12	5	7	14	13	7	0	anes		-05:40	155:0	3900	3.5910646070265
tqo	tqo	14	8	4	4	6	6	6	0	trng	Eleman Proper	-08:05	146:15	23000	4.36172783601759
trg	trg	40	24	5	19	16	16	10	0	afas	Semitic	38:0	47:0	4230	3.62634036737504
trv	trv	43	33	11	22	10	10	10	0	anes	Atayalic	24:0	121:30	20000	4.30102999566398
trw	trw	51	38	8	30	13	13	7	0	ieur	Indic	34:15	72:0	60000	4.77815125038364
tsi	tsi	41	38	12	26	3	3	3	0	penu	Tsimshianic	54:25	-130:20	750	2.8750612633917
tsj	tsj	37	32	8	24	5	5	5	0	sitb	Bodic	27:50	92:10	157000	5.19589965240923
tsp	tsp	35	16	6	10	14	14	7	5	ncon	Gur	11:10	-04:50	19500	4.29003461136252
tsu	tsu	21	15	5	10	6	6	6	0	anes	Tsouic	23:30	120:45	2130	3.32837960343874
tsz	tsz	32	26	7	19	6	6	6	0	tara	Tarascan	19:30	-101:45	40000	4.60205999132796
ttl	ttl	54	44	14	30	10	10	5	0	ncon		-16:10	24:40	14000	4.14612803567824
ttq	ttq	37	23	7	16	14	14	7	0	afas		15:00	04:00	450000	5.65321251377534
ttr	ttr	48	42	13	29	6	6	6	0	afas	Biu-Mandara	11:10	11:50	101000	5.00432137378264
tuq	tuq	35	24	8	16	11	11	11	0	nsah	Western Saharan	20:00	19:00	28500	4.45484486000851
tur	tur	40	24	6	18	16	16	8	0	altc	Turkic	39:0	35:0	46300000	7.66558099101795
tvd	tvd	52	38	9	29	12	12	6	2	ncon		11:06	05:15	150000	5.17609125905568
twf	twf	38	26	12	14	12	12	6	0	kita	Kiowa-Tanoan	36:30	-105:40	930	2.96848294855394
txx	txx	21	17	8	9	4	4	4	0	anes	Northwest Malayo-Polynesian	05:30	115:30	5500	3.74036268949424
tyv	tyv	37	21	7	14	16	16	8	0	altc	Turkic	51:0	96:0	235000	5.37106786227174
tzh	tzh	30	25	7	18	5	5	5	0	maya	Mayan	17:09	-92:17	90000	4.95424250943933
tzj	tzj	35	25	6	19	10	10	5	0	maya	Mayan	14:36	-91:10	50000	4.69897000433602
tzo	tzo	26	21	5	16	5	5	5	0	maya		16:21	-92:30	264230	5.42198212476526
ukr	ukr	30	24	6	18	6	6	6	0	ieur	Slavic	50:0	30:0	31100000	7.49276038902684
ulw	ulw	28	22	14	8	6	6	3	0	misu				6700	3.82607480270083
ung	ung	24	18	13	5	6	6	6	0	aust	Wororan	-16:30	126:30	82	1.91381385238372
unr	unr	37	32	14	18	5	5	5	0	ausa	Munda			1550000	6.19033169817029
usa	usa	22	17	13	4	5	5	5	0	trng	Eastern Highlands	-06:30	145:35	1300	3.11394335230684
ute	ute	37	19	5	14	18	18	9	0	utaz	Numic	37:10	-109:0	1980	3.29666519026153
uvh	uvh	24	16	6	10	8	8	6	0	trng		-06:30	146:35	2500	3.39794000867204
uzn	uzn	30	24	6	18	6	6	6	0	altc	Turkic	40:0	66:0	16500000	7.21748394421391
vag	vag	54	24	9	15	30	30	10	0	ncon	Gur	09:23	-02:23	13500	4.13033376849501
vai	vai	33	22	6	16	11	11	7	0	ncon	Western Mande	07:00	-11:15	104000	5.01703333929878
vam	vam	28	12	4	8	16	16	8	0	skoo	Western Skou	-02:40	141:20	2670	3.42651126136458
var	var	26	12	5	7	14	5	5	0	utaz	Tarahumaran	27:50	-108:50	2840	3.45331834004704
vie	vie	39	21	7	14	12	12	11	6	ausa	Viet-Muong	10:30	106:30	65800000	7.81822589361396
vut	vut	59	30	14	16	24	24	8	5	ncon		05:10	12:10	20000	4.30102999566398
wan	wan	36	21	4	17	12	12	7	3	ncon	Eastern Mande	07:38	-05:48	22000	4.34242268082221
wap	wap	29	17	4	13	12	12	4	0	arwk	Arawakan	02:45	-59:15	6000	3.77815125038364
was	was	32	26	11	15	6	6	6	0	hoka	Washo	39:0	-119:40	10	1
way	way	16	9	5	4	7	7	7	0	cari	Cariban	03:12	-54:10	400	2.60205999132796
wba	wba	21	11	4	7	10	10	5	0	_wba	Warao	09:15	-61:35	28100	4.44870631990508
wbm	wbm	49	27	14	13	22	9	9	0	ausa		21:13	99:28	40000	4.60205999132796
wgi	wgi	23	17	10	7	6	6	6	0	trng	Chimbu	-05:55	144:40	39000	4.5910646070265
wic	wic	29	21	6	15	8	8	4	0	cadd	Caddoan	34:20	-98:25	1	0
wim	wim	23	13	8	5	10	10	5	0	aust	Pama-Nyungan	-13:40	141:50	840	2.92427928606188
wit	wit	35	30	5	25	5	5	5	0	penu	Wintuan	40:0	-122:30	5	0.698970004336019
wms	wms	26	16	8	8	10	5	5	0	trng	Awju-Dumut	-05:30	140:30	3000	3.47712125471966
wnc	wnc	21	14	11	3	7	7	7	0	trng	Finisterre-Huon	-06:10	146:30	8200	3.91381385238372
wnu	wnu	20	14	7	7	6	6	6	0	trng	Madang	-04:50	145:20	1400	3.14612803567824
wob	wob	48	15	3	12	27	27	9	6	ncon	Kru	07:25	-07:20	156000	5.19312459835446
woc	woc	20	15	7	8	5	5	5	0	anes		-03:10	144:05	1620	3.20951501454263
woi	woi	28	16	10	6	12	12	12	0	trng	Greater Alor	-08:15	124:45	16500	4.21748394421391
wol	wol	40	26	11	15	14	14	7	0	ncon	Northern Atlantic	15:30	-16:0	3930000	6.59439255037543
wos	wos	23	16	7	9	7	7	7	0	sepr	Middle Sepik	-03:50	142:50	7200	3.85733249643127
wrs	wrs	22	13	9	4	9	9	9	0	trng	Border	-03:10	141:05	2500	3.39794000867204
wti	wti	29	24	14	10	5	5	5	0	nsah	Berta	10:15	34:40	125000	5.09691001300806
wtm	wtm	50	30	9	21	20	20	10	0	ieur				5e+06	6.69897000433602
wuu	wuu	41	29	9	20	9	9	6	3	sitb	Chinese	31:40	119:55	77200000	7.88761730033574
wwa	wwa	41	13	4	9	25	25	7	3	ncon	Gur	10:35	01:40	50000	4.69897000433602
wya	wya	17	11	4	7	6	6	4	0	iroq	Northern Iroquoian	44:20	-77:30	24	1.38021124171161
wyb	wyb	18	15	10	5	3	3	3	0	aust	Pama-Nyungan	-31:0	147:15	12	1.07918124604762
xaw	xaw	31	25	12	13	6	6	6	0	utaz	Numic	36:30	-117:30	5	0.698970004336019
xmf	xmf	35	30	5	25	5	5	5	0	kart	Kartvelian	42:30	42:0	5e+05	5.69897000433602
xmt	xmt	20	15	6	9	5	5	5	0	anes		-2:0	130:0	1250	3.09691001300806
xom	xom	31	23	7	16	8	8	8	0	nsah	Koman	09:00	34:0	10000	4
xon	xon	42	22	9	13	12	12	6	8	ncon	Gur	09:55	00:05	5e+05	5.69897000433602
xpe	xpe	49	32	11	21	14	14	7	3	ncon	Western Mande	07:00	-10:0	487000	5.68752896121463
xrb	xrb	26	16	7	9	7	7	7	3	ncon		10:30	-04:30	35000	4.54406804435028
xsm	xsm	40	19	7	12	20	20	10	1	ncon	Gur	11:10	-01:10	120000	5.07918124604763
xsu	xsu	24	11	4	7	13	13	7	0	yano	Yanomam	04:00	-64:30	4610	3.66370092538965
xtc	xtc	32	23	8	15	7	7	7	2	nsah	Kadugli	11:05	29:30	75000	4.8750612633917
xub	xub	37	22	9	13	15	12	6	0	drav	Southern Dravidian	11:45	76:30	32000	4.50514997831991
xwa	xwa	45	29	8	21	16	16	9	0	_xwa				25	1.39794000867204
xxk	xxk	30	24	11	13	6	6	6	0	anes	Central Malayo-Polynesian	-08:50	121:15	40000	4.60205999132796
yad	yad	23	11	5	6	12	12	6	0	pbya	Peba-Yaguan	-03:20	-72:0	5690	3.75511226639507
yal	yal	33	19	8	11	14	14	7	0	ncon		10:00	-11:0	55500	4.74429298312268
yam	yam	38	26	7	19	8	8	8	4	ncon	Bantoid	06:27	11:00	40800	4.61066016308988
yap	yap	44	28	11	17	16	16	8	0	anes	Yapese	09:30	138:10	6590	3.81888541459401
yaq	yaq	22	17	6	11	5	5	5	0	utaz	Cahita	27:45	-110:15	14000	4.14612803567824
yas	yas	26	15	5	10	7	7	7	4	ncon	Bantoid	04:40	11:15	35000	4.54406804435028
yat	yat	28	18	7	11	8	8	8	2	ncon		04:50	10:55	3700	3.56820172406699
ybb	ybb	35	21	6	15	8	8	8	6	ncon	Bantoid	05:27	10:00	3e+05	5.47712125471966
ycn	ycn	21	16	7	9	5	5	5	0	arwk	Arawakan	00:45	-71:0	1800	3.25527250510331
ydd	ydd	47	38	12	26	9	6	6	0	ieur	Germanic	51:45	19:25	215000	5.3324384599156
yer	yer	32	26	12	14	6	6	6	0	ncon	Platoid	09:00	10:00	3e+05	5.47712125471966
yey	yey	90	77	18	59	13	13	5	0	ncon	Bantoid	-18:50	22:35	20000	4.30102999566398
ygr	ygr	23	14	4	10	9	5	5	0	trng	Eastern Highlands	-06:25	145:25	21100	4.32428245529769
yii	yii	16	13	9	4	3	3	3	0	aust	Pama-Nyungan	-17:20	146:15	12	1.07918124604762
ykg	ykg	26	20	12	8	6	6	6	0	yuka	Yukaghir	69:0	154:20	90	1.95424250943932
yll	yll	23	12	7	5	11	7	7	0	torr	Wapei-Palei	-03:25	142:10	2470	3.39269695325967
yor	yor	29	18	6	12	11	11	7	0	ncon	Defoid	08:00	04:00	18900000	7.27646180417324
yrb	yrb	18	13	5	8	5	5	5	0	trng	Yareban	-09:30	148:35	750	2.8750612633917
yre	yre	45	23	7	16	18	18	9	4	ncon		07:00	-05:42	24600	4.39093510710338
yrk	yrk	34	26	11	15	8	8	5	0	urlc	Samoyedic	66:30	70:0	31300	4.49554433754645
yss	yss	20	16	10	6	4	4	4	0	sepr	Tama Sepik	-04:05	142:35	1990	3.29885307640971
yua	yua	30	20	7	13	10	10	10	0	maya	Mayan	19:15	-89:30	7e+05	5.84509804001426
yuc	yuc	49	38	8	30	11	11	6	0	_yuc	Yuchi	35:30	-94:35	50	1.69897000433602
yue	yue	32	22	9	13	5	5	5	5	sitb	Chinese	23:00	113:0	5.2e+07	7.7160033436348
yul	yul	42	35	15	20	7	7	7	0	nsah	Bongo-Bagirmi	08:55	22:50	4000	3.60205999132796
yum	yum	38	28	11	17	10	10	5	0	hoka	Yuman	33:0	-114:45	150	2.17609125905568
yur	yur	35	23	7	16	12	12	6	0	algi	Yurok	41:20	124:0	12	1.07918124604762
yux	yux	33	21	9	12	12	12	6	0	yuka	Yukaghir	64:20	154:20	30	1.47712125471966
yuz	yuz	25	18	7	11	7	7	7	0	_yuz	Yuracare	-16:45	-65:08	2680	3.42813479402879
yva	yva	19	14	6	8	5	5	5	0	geba	Yawa	-01:45	136:15	6000	3.77815125038364
ywn	ywn	18	14	5	9	4	4	4	0	pano		-9:0	-71:45	450	2.65321251377534
zab	zab	47	29	12	17	18	18	18	0	otma	Zapotecan	16:54	-96:28	28000	4.44715803134222
zmr	zmr	24	19	11	8	5	5	5	0	aust	Western Daly	-13:45	130:10	15	1.17609125905568
zne	zne	35	19	6	13	16	16	8	0	ncon	Ubangi	04:15	26:0	730000	5.86332286012046
zoc	zoc	22	16	6	10	6	6	5	0	mizo	Mixe-Zoque	17:03	-93:15	10000	4
zoh	zoh	26	20	7	13	6	6	6	0	mizo	Mixe-Zoque	16:48	-94:45	4500	3.65321251377534
zpq	zpq	66	29	10	19	32	15	15	5	otma	Zapotecan	17:15	-96:15	1000	3
zsm	zsm	27	21	6	15	6	6	6	0	anes	Malayic			1	0
ztp	ztp	30	23	9	14	7	7	7	0	otma		16:04	-96:48	75000	4.8750612633917
zts	zts	30	22	6	16	6	6	6	2	otma		16:47	-96:35	7000	3.84509804001426
zul	zul	43	35	8	27	5	5	5	3	ncon	Bantoid	-29:0	30:0	9980000	6.99913054128737
zun	zun	54	44	10	34	10	10	5	0	_zun	Zuni	34:55	109:0	9650	3.98452731334379
